miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
	unknown	unknown	2008	18719196	Unspecified	0	1998			
hsa-miR-221	3073	glioblastoma multiforme (GBM)	up-regulated	"Northern blot, qRT-PCR etc"	"We observed selective up-regulation of miRNA-221 and down-regulation of a miRNA-221 messenger RNA target encoding the survivin-1 homolog BIRC1, a neuronal inhibitor of apoptosis protein (NIAP) and marker for neurodegeneration. The expression of BIRC5 (survivin-1) and caspase-3 were found to be significantly up-regulated, particularly in stage IV GBM. These studies suggest that the abundance and speciation of the BIRC family of neural cell fate regulators are differentially regulated in glioma and GBM, and may contribute to progressive changes in apoptotic signaling and altered neural cell cycling functions."	BIRC1	KIT	2008	18759060	Causal
hsa-miR-25	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We have confirmed that the proapoptotic BIM is a target of the miR-17-92 cluster in MM cells. Therefore, miR-17-92, along with miR-21, blocks apoptosis and promotes cell survival. On the other hand, miR-106b-25, miR-181a, and miR-32 but not miR-17-92 cluster (specifically miR-19s and miR-92), target PCAF, a p53 positive regulator. We speculate, consistent with the low frequency of p53 mutations in MM, that down-regulation of PCAF by the miR-106b-25 cluster, miR-181s, and miR-32, keeps p53 at low level or partially inactivated by controlling its stability through Hdm2  and working as a histone acetyltransferase."	PCAF	unknown	2008	18728182	Causal
hsa-miR-26a	8584	Burkitt lymphoma	down-regulated	"Northern blot, qRT-PCR etc"	"The MYC oncogene, which is commonly mutated/amplified in tumors, represents an important regulator of cell growth owing to its ability to induce both proliferation and apoptosis. Recent evidence links MYC to altered miRNA expression, thereby suggesting that MYC-regulated miRNAs might contribute to tumorigenesis. To further analyze the impact of MYC-regulated miRNAs we investigated a murine lymphoma model harboring the MYC transgene in a Tet-off system. Among the miRNAs repressed by MYC we identified the potential tumor suppressor miR-26a, which possessed the ability to attenuate proliferation in MYC-dependent cells. Interestingly, miR-26a was also found to be deregulated in primary human Burkitt lymphoma samples, thereby likely being of clinical relevance.we could show that ectopic expression of miR-26a influenced cell cycle progression by targeting the bona fide oncogene EZH2, a Polycomb protein and global regulator of gene expression yet unknown to be regulated by miRNAs. Thus, in addition to directly targeting protein-coding genes, MYC modulates genes important to oncogenesis via deregulation of miRNAs."	EZH2	PLAG1	2008	18713946	Causal
hsa-miR-28	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	down-regulated in Dicer Mutant Podocytes.	unknown	unknown	2008	18776119	Unspecified
hsa-miR-29b	3459	breast cancer	up-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-29c	3459	breast cancer	up-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-30a-3p	3459	breast cancer	down-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-30b	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	"Among 15 upregulated target genes of the mir-30 miRNA, four genes known to be expressed and/or functional in podocytes were identified, including receptor for advanced glycation end product, vimentin, heat-shock protein 20, and immediate early response 3. Receptor for advanced glycation end product and immediate early response 3 are known to mediate podocyte apoptosis, whereas vimentin and heat-shock protein-20 are involved in cytoskeletal structure. Taken together, these results provide a knowledge base for ongoing investigations to validate functional roles for the mir-30 miRNA family in podocyte homeostasis and podocytopathies. In conclusion, our results demonstrate that miRNA are important genomic regulators of molecular podocyte homeostasis. Disruption of miRNA-controlled gene networks results in progressive proteinuria and glomerulosclerosis."	unknown	unknown	2008	18776119	Unspecified
hsa-miR-30c-1	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	"Among 15 upregulated target genes of the mir-30 miRNA, four genes known to be expressed and/or functional in podocytes were identified, including receptor for advanced glycation end product, vimentin, heat-shock protein 20, and immediate early response 3. Receptor for advanced glycation end product and immediate early response 3 are known to mediate podocyte apoptosis, whereas vimentin and heat-shock protein-20 are involved in cytoskeletal structure. Taken together, these results provide a knowledge base for ongoing investigations to validate functional roles for the mir-30 miRNA family in podocyte homeostasis and podocytopathies. In conclusion, our results demonstrate that miRNA are important genomic regulators of molecular podocyte homeostasis. Disruption of miRNA-controlled gene networks results in progressive proteinuria and glomerulosclerosis."	unknown	unknown	2008	18776119	Unspecified
hsa-miR-30c-2	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	"Among 15 upregulated target genes of the mir-30 miRNA, four genes known to be expressed and/or functional in podocytes were identified, including receptor for advanced glycation end product, vimentin, heat-shock protein 20, and immediate early response 3. Receptor for advanced glycation end product and immediate early response 3 are known to mediate podocyte apoptosis, whereas vimentin and heat-shock protein-20 are involved in cytoskeletal structure. Taken together, these results provide a knowledge base for ongoing investigations to validate functional roles for the mir-30 miRNA family in podocyte homeostasis and podocytopathies. In conclusion, our results demonstrate that miRNA are important genomic regulators of molecular podocyte homeostasis. Disruption of miRNA-controlled gene networks results in progressive proteinuria and glomerulosclerosis."	unknown	unknown	2008	18776119	Unspecified
hsa-miR-30d	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	"Among 15 upregulated target genes of the mir-30 miRNA, four genes known to be expressed and/or functional in podocytes were identified, including receptor for advanced glycation end product, vimentin, heat-shock protein 20, and immediate early response 3. Receptor for advanced glycation end product and immediate early response 3 are known to mediate podocyte apoptosis, whereas vimentin and heat-shock protein-20 are involved in cytoskeletal structure. Taken together, these results provide a knowledge base for ongoing investigations to validate functional roles for the mir-30 miRNA family in podocyte homeostasis and podocytopathies. In conclusion, our results demonstrate that miRNA are important genomic regulators of molecular podocyte homeostasis. Disruption of miRNA-controlled gene networks results in progressive proteinuria and glomerulosclerosis."	unknown	unknown	2008	18776119	Unspecified
hsa-miR-31	3459	breast cancer	down-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-32	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We have confirmed that the proapoptotic BIM is a target of the miR-17-92 cluster in MM cells. Therefore, miR-17-92, along with miR-21, blocks apoptosis and promotes cell survival. On the other hand, miR-106b-25, miR-181a, and miR-32 but not miR-17-92 cluster (specifically miR-19s and miR-92), target PCAF, a p53 positive regulator. We speculate, consistent with the low frequency of p53 mutations in MM, that down-regulation of PCAF by the miR-106b-25 cluster, miR-181s, and miR-32, keeps p53 at low level or partially inactivated by controlling its stability through Hdm2  and working as a histone acetyltransferase."	PCAF	PFV-1	2008	18728182	Causal
hsa-miR-320	3459	breast cancer	down-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-320	9256	colorectal cancer	up-regulated	microarray	Our microarray data showing that miR-320 is more abundantly expressed in cancer relative to normal tissue. It may therefore be speculated that miR-320 expression is involved in maintaining the undifferentiated and proliferative tumor phenotype.	unknown	unknown	2008	18676867	Unspecified
hsa-miR-320	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-324-5p	3858	medulloblastoma	down-regulated	"Northern blot, qRT-PCR etc"	" Using a miRNA high-throughput profile screening, we identify here a downregulated miRNA signature in human MBs with high Hh signalling. Specifically, we identify miR-125b and miR-326 as suppressors of the pathway activator Smoothened together with miR-324-5p, which also targets the downstream transcription factor Gli1. Downregulation of these miRNAs allows high levels of Hh-dependent gene expression leading to tumour cell proliferation. Interestingly, the downregulation of miR-324-5p is genetically determined by MB-associated deletion of chromosome 17p. These findings identify a novel regulatory circuitry of the Hh signalling and suggest that misregulation of specific miRNAs, leading to its aberrant activation, sustain cancer development."					
	Gli1	unknown	2008	18756266	Causal	1	2015			
hsa-miR-326	3858	medulloblastoma	down-regulated	"Northern blot, qRT-PCR etc"	" Using a miRNA high-throughput profile screening, we identify here a downregulated miRNA signature in human MBs with high Hh signalling. Specifically, we identify miR-125b and miR-326 as suppressors of the pathway activator Smoothened together with miR-324-5p, which also targets the downstream transcription factor Gli1. Downregulation of these miRNAs allows high levels of Hh-dependent gene expression leading to tumour cell proliferation. Interestingly, the downregulation of miR-324-5p is genetically determined by MB-associated deletion of chromosome 17p. These findings identify a novel regulatory circuitry of the Hh signalling and suggest that misregulation of specific miRNAs, leading to its aberrant activation, sustain cancer development."					
	Gli1	unknown	2008	18756266	Causal	1	2016			
hsa-miR-335	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We identified transcripts specific to six miRNA host genes (CCPG1, GULP1, EVL, TACSTD1, MEST, and TNIK) whose average changes in expression varied at least 2-fold from the mean of the examined dataset. We evaluated the expression levels of the corresponding intronic miRNAs and identified a significant correlation between the expression levels of MEST, EVL, and GULP1 and those of the corresponding miRNAs miR-335, miR-342-3p, and miR-561, respectively. Genome-wide profiling of the 20 HMCLs indicated that the increased expression of the three host genes and their corresponding intronic miRNAs was not correlated with local copy number variations. Notably, miRNAs and their host genes were overexpressed in a fraction of primary tumors with respect to normal plasma cells. The predicted putative miRNA targets and the transcriptional profiles associated with the primary tumors suggest that MEST/miR-335 and EVL/miR-342-3p may play a role in plasma cell homing and/or interactions with the bone marrow microenvironment. Our data support the idea that intronic miRNAs and their host genes are regulated dependently, and may contribute to the understanding of their biological roles in cancer."	unknown	unknown	2008	18700954	Unspecified
hsa-miR-342	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We identified transcripts specific to six miRNA host genes (CCPG1, GULP1, EVL, TACSTD1, MEST, and TNIK) whose average changes in expression varied at least 2-fold from the mean of the examined dataset. We evaluated the expression levels of the corresponding intronic miRNAs and identified a significant correlation between the expression levels of MEST, EVL, and GULP1 and those of the corresponding miRNAs miR-335, miR-342-3p, and miR-561, respectively. Genome-wide profiling of the 20 HMCLs indicated that the increased expression of the three host genes and their corresponding intronic miRNAs was not correlated with local copy number variations. Notably, miRNAs and their host genes were overexpressed in a fraction of primary tumors with respect to normal plasma cells. The predicted putative miRNA targets and the transcriptional profiles associated with the primary tumors suggest that MEST/miR-335 and EVL/miR-342-3p may play a role in plasma cell homing and/or interactions with the bone marrow microenvironment. Our data support the idea that intronic miRNAs and their host genes are regulated dependently, and may contribute to the understanding of their biological roles in cancer."	unknown	unknown	2008	18700954	Unspecified
hsa-miR-34a	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"Here, we show for the first time that microRNA-34a is significantly downregulated in CLL patients with TP53 deletions compared with CLL patients without such deletions. In these cases, we were not able to reveal BCL2 as a target of microRNA-34a. Still, BCL2 being only one of the microRNA-34a targets, a"					
"potential function of a regulatory circuit involving the important tumor suppressor TP53 and microRNA-34a in the pathogenesis of CLL cannot be excluded, and needs to be further investigated."	unknown	E2F3	2008	18818704	Unspecified	0	2019			
hsa-miR-34a	3945	Glomerulosclerosis	down-regulated	"Northern blot, qRT-PCR etc"	down-regulated in Dicer Mutant Podocytes.	unknown	E2F3	2008	18776119	Unspecified
hsa-miR-34a	10286	prostate cancer	down-regulated	"Northern blot, qRT-PCR etc"	"MiR-34a expression was markedly reduced in p53-null PC3 cells and p53-mutated DU145 cells compared with LNCaP cells expressing wild-type p53. In PC3 cell, ectopic expression of miR-34a decreased the SIRT1 mRNA and protein levels as well as protein levels of known direct target genes. Reporter assays revealed that miR-34a-induced SIRT1 inhibition occurred at the transcriptional but not post-transcriptional level despite the presence of a potential miR-34a binding site within its 3'-UTR. Ectopic miR-34a expression resulted in cell cycle arrest and growth inhibition and attenuated chemoresistance to anticancer drug camptothecin by inducing apoptosis, suggesting a potential role of miR-34a for the treatment of p53-defective prostate cancer."	SIRT1	E2F3	2008	18834855	Causal
hsa-miR-34b	8584	Burkitt lymphoma	down-regulated	"Northern blot, qRT-PCR etc"	"Our results demonstrated a modulation of specific miRNAs. In particular, down-regulation of hsa-let-7c was observed in BL cases, compared to normal controls. More interestingly, hsa-mir-34b was found to be down-regulated only in BL cases that were negative for MYC translocation, suggesting that this event might be responsible for c-Myc deregulation in such cases. This hypothesis was further confirmed by our in vitro experiments, which demonstrated that increasing doses of synthetic hsa-mir-34b were able to modulate c-Myc expression. These results indicate for the first time that hsa-mir-34b may influence c-Myc expression in Burkitt lymphoma as the more common aberrant control exercised by the immunoglobulin enhancer locus."	c-myc	unknown	2008	18802929	Causal
hsa-miR-355	3459	breast cancer	down-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-365	3459	breast cancer		microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-373*	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-492	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-494	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-497	3459	breast cancer	down-regulated	microarray	"Nine miRNAs of hsa-miR-21, hsa-miR-365, hsa-miR-181b, hsa-let-7f, hsa-miR-155, hsa-miR-29b, hsa-miR-181d, hsa-miR-98, and hsa-miR-29c were observed to be up-regulated greater than twofold in BC compared with normal adjacent tumor tissues (NATs), whereas seven miRNAs of hsa-miR-497, hsa-miR-31, hsa-miR-355, hsa-miR-320, rno-mir-140, hsa-miR-127 and hsa-miR-30a-3p were observed to be down-regulated greater than twofold."	unknown	unknown	2008	18812439	Unspecified
hsa-miR-498	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-503	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-513-1	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-513-2	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-516-3p	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Supervised analysis in the initial subset and subsequent analysis in additional tumors significantly linked four miRNAs (miR-7, miR-128a, miR-210, and miR-516-3p) to ER(+)/LNN breast cancer aggressiveness (n=147) and one miRNA (miR-210) to metastatic capability in ER(-)/LNN breast cancer ( n=114) and in the clinically important triple-negative subgroup (n=69) (all P<0.05). Bioinformatic analysis coupled miR-210 to hypoxia/VEGF signaling, miR-7 and miR-516-3p to cell cycle progression and chromosomal instability, and miR-128a to cytokine signaling. In conclusion, our work connects four miRNAs to breast cancer progression and to several distinct biological processes involved therein."					
	unknown	unknown	2008	18755890	Causal	1	2033			
hsa-miR-518c*	768	retinoblastoma	up-regulated	microarray	"A cluster of microRNAs was identified as highly expressed in retinoblastoma, including hsa-miR-494, hsa-let-7e, hsa-miR-513-1, hsa-miR-513-2, hsa-miR-518c*, hsa-miR-129-1, hsa-miR-129-2, hsa-miR-198, hsa-miR-492, hsa-miR-498, hsa-miR-320, hsa-miR-503, and hsa-miR-373*. CONCLUSION: These miRNAs are the first to be reported for human retinoblastoma and may play significant roles in regulating tumor genesis."	unknown	unknown	2008	18818933	Unspecified
hsa-miR-521	10286	prostate cancer	up-regulated	"Northern blot, qRT-PCR etc"	"To determine the role of miR-521 in radiation response we transiently overexpressed miR-521 using miR-521 mimic. The miR-521 mimic significantly sensitized prostate cancer cells to radiation treatment. Conversely, ectopic inhibition of miR-521 resulted in radiation resistance of prostate cancer cells. To determine the mechanism by which miR-521 modulates radiation sensitivity we measured the expression levels of one of its predicted target protein, Cockayne syndrome protein A (CSA). CSA is a DNA repair protein, and its levels correlated inversely with the levels of miR-521. Radiation treatment downregulated the levels of miR-521 and upregulated CSA protein. Similarly, ectopic inhibition of miR-521 resulted in increased CSA protein levels. Therefore by altering the levels of CSA protein, miR-521 sensitized prostate cancer cells to radiation treatment. CONCLUSION: miR-521 modulates the expression levels of DNA repair protein, CSA and plays an important role, in the radio-sensitivity of prostate cancer cell lines. Thus miR-521 can be a potential target for enhancing the effect of radiation treatment on prostate cancer cells."	CSA	unknown	2008	18668526	Causal
hsa-miR-561	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We identified transcripts specific to six miRNA host genes (CCPG1, GULP1, EVL, TACSTD1, MEST, and TNIK) whose average changes in expression varied at least 2-fold from the mean of the examined dataset. We evaluated the expression levels of the corresponding intronic miRNAs and identified a significant correlation between the expression levels of MEST, EVL, and GULP1 and those of the corresponding miRNAs miR-335, miR-342-3p, and miR-561, respectively. Genome-wide profiling of the 20 HMCLs indicated that the increased expression of the three host genes and their corresponding intronic miRNAs was not correlated with local copy number variations. Notably, miRNAs and their host genes were overexpressed in a fraction of primary tumors with respect to normal plasma cells. The predicted putative miRNA targets and the transcriptional profiles associated with the primary tumors suggest that MEST/miR-335 and EVL/miR-342-3p may play a role in plasma cell homing and/or interactions with the bone marrow microenvironment. Our data support the idea that intronic miRNAs and their host genes are regulated dependently, and may contribute to the understanding of their biological roles in cancer."	unknown	unknown	2008	18700954	Unspecified
hsa-miR-615-3p	5082	HBV-related cirrhosis	up-regulated	"Northern blot, qRT-PCR etc"	hsa-miR-615-3p was significantly up-regulated in					
hypersplenism. Dynamic changes in miRNA expression occurred during the										
pathogenesis of portal hypertension-induced hypersplenism in HBV-related cirrhosis.										
The miRNAs then are novel regulatory RNAs in hypersplenism in patients with										
HBV-related cirrhosis.	unknown	unknown	2008	18791127	Unspecified	0	2037			
hsa-miR-659	10216	frontotemporal dementia	normal	"Northern blot, qRT-PCR etc"	"Here we expand the role of GRN in FTLD-U and demonstrate that a common genetic variant (rs5848), located in the 3'untranslated region (UTR) of GRN in a binding-site for miR-659, is a major susceptibility factor for FTLD-U. In a series of pathologically confirmed FTLD-U patients without GRN mutations, we show that carriers homozygous for the T-allele of rs5848 have a 3.2-fold increased risk to develop FTLD-U compared to homozygous C-allele carriers (95% CI: 1.50-6.73). We further demonstrate that miR-659 can regulate GRN expression in vitro, with miR-659 binding more efficiently to the high risk T-allele of rs5848 resulting in augmented translational inhibition of GRN. A significant reduction in GRN protein was observed in homozygous T-allele carriers in vivo, through biochemical and immunohistochemical methods, mimicking the effect of heterozygous loss-of-function GRN mutations."	GRN	unknown	2008	18723524	Causal
hsa-miR-7	3459	breast cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Supervised analysis in the initial subset and subsequent analysis in additional tumors significantly linked four miRNAs (miR-7, miR-128a, miR-210, and miR-516-3p) to ER(+)/LNN breast cancer aggressiveness (n=147) and one miRNA (miR-210) to metastatic capability in ER(-)/LNN breast cancer ( n=114) and in the clinically important triple-negative subgroup (n=69) (all P<0.05). Bioinformatic analysis coupled miR-210 to hypoxia/VEGF signaling, miR-7 and miR-516-3p to cell cycle progression and chromosomal instability, and miR-128a to cytokine signaling. In conclusion, our work connects four miRNAs to breast cancer progression and to several distinct biological processes involved therein."					
	unknown	unknown	2008	18755890	Causal	1	2039			
hsa-miR-92	9256	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"in vitro inhibition of two miRNAs highly expressed in tumor tissue, miR-20a and miR-92, did not affect cell viability. This was unexpected, considering that these miRNAs are part of the miR-17-92 cluster reported to be oncogenic in other cancer types. Although our data indicated that the viability"					
"of colon cancer cell lines were unaffected by inhibition of miR-20a and miR-92, other cancer hall marks such as motility, invasion, and angiogenesis might have been influenced."	unknown	unknown	2008	18676867	Unspecified	0	2040			
hsa-miR-92a	684	hepatocellular carcinoma (HCC)	up-regulated	"Northern blot, qRT-PCR etc"	"Two known oncomiRs--miRNAs with known roles in cancer--the miR-17-92 polycistron and miR-21, exhibited increased expression in 100% of primary human and woodchuck hepatocellular carcinomas surveyed. To determine the importance of these miRNAs in tumorigenesis, an in vitro antisense oligonucleotide knockdown model was evaluated for its ability to reverse the malignant phenotype. Both in human and woodchuck HCC cell lines, separate treatments with antisense oligonucleotides specific for either the miR-17-92 polycistron (all six members) or miR-21 caused a 50% reduction in both hepatocyte proliferation and anchorage-independent growth. The combination of assays presented here supports a role for these miRNAs in the maintenance of the malignant transformation of hepatocytes."	unknown	unknown	2008	18688024	Causal
hsa-miR-93	9538	multiple myeloma (MM)	up-regulated	"Northern blot, qRT-PCR etc"	"We have confirmed that the proapoptotic BIM is a target of the miR-17-92 cluster in MM cells. Therefore, miR-17-92, along with miR-21, blocks apoptosis and promotes cell survival. On the other hand, miR-106b-25, miR-181a, and miR-32 but not miR-17-92 cluster (specifically miR-19s and miR-92), target PCAF, a p53 positive regulator. We speculate, consistent with the low frequency of p53 mutations in MM, that down-regulation of PCAF by the miR-106b-25 cluster, miR-181s, and miR-32, keeps p53 at low level or partially inactivated by controlling its stability through Hdm2  and working as a histone acetyltransferase."	PCAF	unknown	2008	18728182	Causal
hsa-miR-96	10584	retinitis pigmentosa (RP)	down-regulated	"Northern blot, qRT-PCR etc"	"expression of miR-96, -182 and -183 decreased by 14.1-53.2%, while expression of miR-1, -133 and -142 was up-regulated by 186.1-538.5%. Significantly, the detected pan-retinal miR signature was mirrored by similar miR expression profiles in FACS-isolated rod photoreceptors from these mice. "	unknown	unknown	2008	18834879	Unspecified
